[20-Jun-2022 04:37:08 Europe/Berlin] PHP Warning:  require_once(D:\xampp-sipp\htdocs\matoh\v2\resources\phpoffice\samples/../src/PhpWord/Autoloader.php): failed to open stream: No such file or directory in D:\xampp-sipp\htdocs\matoh\v2\resources\phpoffice\samples\Sample_Header.php on line 2
[20-Jun-2022 04:37:08 Europe/Berlin] PHP Fatal error:  require_once(): Failed opening required 'D:\xampp-sipp\htdocs\matoh\v2\resources\phpoffice\samples/../src/PhpWord/Autoloader.php' (include_path='D:\xampp-sipp\php\PEAR') in D:\xampp-sipp\htdocs\matoh\v2\resources\phpoffice\samples\Sample_Header.php on line 2
[20-Jun-2022 04:37:17 Europe/Berlin] PHP Warning:  require_once(D:\xampp-sipp\htdocs\matoh\v2\resources\phpoffice\samples/../src/PhpWord/Autoloader.php): failed to open stream: No such file or directory in D:\xampp-sipp\htdocs\matoh\v2\resources\phpoffice\samples\Sample_Header.php on line 2
[20-Jun-2022 04:37:17 Europe/Berlin] PHP Fatal error:  require_once(): Failed opening required 'D:\xampp-sipp\htdocs\matoh\v2\resources\phpoffice\samples/../src/PhpWord/Autoloader.php' (include_path='D:\xampp-sipp\php\PEAR') in D:\xampp-sipp\htdocs\matoh\v2\resources\phpoffice\samples\Sample_Header.php on line 2
[20-Jun-2022 04:38:49 Europe/Berlin] PHP Warning:  require_once(D:\xampp-sipp\htdocs\matoh\v2\resources\phpoffice\samples/phpword/bootstrap.php): failed to open stream: No such file or directory in D:\xampp-sipp\htdocs\matoh\v2\resources\phpoffice\samples\Sample_Header.php on line 3
[20-Jun-2022 04:38:49 Europe/Berlin] PHP Fatal error:  require_once(): Failed opening required 'D:\xampp-sipp\htdocs\matoh\v2\resources\phpoffice\samples/phpword/bootstrap.php' (include_path='D:\xampp-sipp\php\PEAR') in D:\xampp-sipp\htdocs\matoh\v2\resources\phpoffice\samples\Sample_Header.php on line 3
[20-Jun-2022 02:39:24 UTC] PHP Fatal error:  Class 'PhpOffice\PhpWord\Autoloader' not found in D:\xampp-sipp\htdocs\matoh\v2\resources\phpoffice\samples\Sample_Header.php on line 19
[20-Jun-2022 02:56:10 UTC] PHP Warning:  copy(resources/Sample_40_TemplateSetComplexValue.docx): failed to open stream: No such file or directory in D:\xampp-sipp\htdocs\matoh\v2\resources\phpoffice\phpword\src\PhpWord\TemplateProcessor.php on line 119
[20-Jun-2022 02:56:10 UTC] PHP Fatal error:  Uncaught exception 'PhpOffice\PhpWord\Exception\CopyFileException' with message 'Could not copy 'resources/Sample_40_TemplateSetComplexValue.docx' file to 'C:\Users\BAY ANYAR\AppData\Local\Temp\Php99D2.tmp'.' in D:\xampp-sipp\htdocs\matoh\v2\resources\phpoffice\phpword\src\PhpWord\TemplateProcessor.php:120
Stack trace:
#0 D:\xampp-sipp\htdocs\matoh\v2\resources\phpoffice\samples\Sample_40_TemplateSetComplexValue.php(11): PhpOffice\PhpWord\TemplateProcessor->__construct('resources/Sampl...')
